,mass,compound_id,inchi_key,formation_energy_cc
220,190.00400000000002,10511,QVTQYSFCFOGITD-UHFFFAOYSA-M,-278.7235491153531
221,190.00400000000002,23671,MRUDNSFOFOQZDA-UHFFFAOYSA-M,-262.62363206702787
222,190.00400000000002,10660,VPHHJAOJUJHJKD-UHFFFAOYSA-M,-264.22255034967077
223,191.01,694313,"CXKCZFDUOYMOOP-UHFFFAOYSA-N
",-273.5229707005416
224,225.45,694314,"CGFDSIZRJWMQPP-UHFFFAOYSA-N
",-293.37906468849036
225,225.45,694315,"ICUICNRYLHKQGS-UHFFFAOYSA-N
",-281.57835756676974
226,200.01,10530,XRXMNWGCKISMOH-UHFFFAOYSA-M,-209.46793070156346
227,201.019,694316,"VOIZNVUXCQLQHS-UHFFFAOYSA-N
",-202.96706332339423
228,200.01,26143,TUXYZHVUPGXXQG-UHFFFAOYSA-M,-196.26674734434545
229,247.0105,10559,CJNZAXGUTKBIHP-UHFFFAOYSA-M,-146.46790274444157
230,248.019,694317,"KVBWBCRPWVKFQT-UHFFFAOYSA-N
",-144.0670377881282
231,247.0105,26326,GHICCUXQJBDNRN-UHFFFAOYSA-M,-141.26671445279405
232,171.58,694318,"IFXKXCLVKQVVDI-UHFFFAOYSA-N
",-215.50788991168278
233,172.56,694319,"NKBASRXWGAGQDP-UHFFFAOYSA-N
",-408.86808561240525
234,170.59,694320,"CSAPESWNZDOAFU-UHFFFAOYSA-N
",-237.05642713019455
235,50.49,4401,NEHMKBQYUWJMIP-UHFFFAOYSA-N,-52.73353892117678
236,30.069000000000003,9025,OTMSDBZUPAUEDD-UHFFFAOYSA-N,-17.467077842349457
237,167.84,21316,QPFMBZIOSGYJDE-UHFFFAOYSA-N,-88.88902594745042
238,44.097,63823,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,-7.356103789799133
239,78.541,134963,SNMVRZFUUCLYTO-UHFFFAOYSA-N,-44.71159081607402
240,112.986,134910,YHRUOJUYPBUZOS-UHFFFAOYSA-N,-80.3670778423501
241,58.123999999999995,33085,IJDNQMDRQITEOD-UHFFFAOYSA-N,-0.24512973724961168
242,92.56700000000001,134961,VFWCMGCRMGJXDK-UHFFFAOYSA-N,-31.80061676352487
243,92.57,694321,"BSPCSKHALVHRSR-UHFFFAOYSA-N
",-45.6006167635245
244,72.1488,59087,OFBQJSOFQDEBGM-UHFFFAOYSA-N,9.26584431530127
245,106.594,473252,SQCZQTSHSZLZIQ-UHFFFAOYSA-N,-29.5896427109754
246,76.118,694322,"LGHYUXIXXNHKSE-UHFFFAOYSA-N
",77.3106823707135
247,203.128,691207,OEJZZCGRGVFWHK-UHFFFAOYSA-K,-1149.6833835880554
248,158.11,250,FGSBNBBHOZHUBO-UHFFFAOYSA-L,-780.5035949677089
249,454.42400000000004,487,MEANFMOQMXYMCT-OLZOCXBDSA-M,-731.7296014044965
250,471.431,224,AUFGTPPARQZWDO-YPMHNXCESA-L,-934.1948993123397
251,587.3290000000001,532,WFPZSXYXPSUOPY-ROYWQJLOSA-L,-2606.817068267696
252,862.57,87,VNOYUJKHFWYWIR-ITIYDSSPSA-I,-3540.7675729360003
253,847.58,125,OJFDKHTZOUZBOS-CITAKDKDSA-J,-3343.23469448979
254,408.181,354,DAEAPNUQQAICNR-RRKCRQDMSA-K,-1780.150616812457
255,329.21,411,KHWCHTKSEGGWEX-RRKCRQDMSA-L,-869.1568006487919
256,487.152,272,SUYVUBYJARFZHO-RRKCRQDMSA-J,-2645.399504156148
257,258.12,1497,UZYFNQCWJLIAKE-ZMIZWQJLSA-L,-1745.827889889582
258,306.31,57,RWSXRVCMGQZWBV-WDSKDSINSA-M,-938.3551493118948
259,610.61,143,YPZRWBKMTBYPTK-BJDJZHNGSA-L,-1842.1010553634148
260,577.262,82,HDYANYHVCAPMJV-LXQIFKJMSA-K,-3318.211852396232
261,577.262,1011,HDYANYHVCAPMJV-GXNRKQDOSA-K,-3319.3082695476874
262,805.54,23,ZSLZBFCDCINBPY-ZSJPKINUSA-J,-3228.203105273429
263,763.5,15,RGJOEKWQDUBAIZ-IBOSZNHHSA-J,-3087.978873419521
264,286.459,131778,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,272.04276796521236
265,284.443,404,NCYCYZXNIZJOKI-OVSJKPMPSA-N,300.49220908458767
266,663.449,694323,"KPVQNXLUPNWQHM-UHFFFAOYSA-O
",-2206.1313918892674
267,664.4580000000001,694324,"CIWXCGUGRDQCHH-UHFFFAOYSA-N
",-2190.0379117517246
268,791.51,534,SXMOKYXNAPLNCW-GORZOVPNSA-J,-3235.018229616883
269,123.98899999999999,3970,TVISEJUYYBUVNV-UHFFFAOYSA-L,-1236.0968636598595
270,228.09400000000002,837,FNZLKVNUWIIPSJ-CRCLSJGQSA-L,-1598.2076707065567
271,228.09400000000002,176,FNZLKVNUWIIPSJ-RFZPGFLSSA-L,-1598.7021129891962
272,173.145,572,JXOHGGNKMLTUBP-HSUXUTPPSA-M,-777.910747390134
273,171.12900000000002,581,SLWWJZMPHJJOPH-PHDIDXHHSA-M,-750.6420553035937
274,239.235,74537,FEMXZDUTFRTWPE-UHFFFAOYSA-N,-474.66087193411386
275,237.21900000000002,928,VPVOXUSPXFPWBN-UHFFFAOYSA-N,-444.17887709572597
276,209.09900000000002,74456,DRBBFCLWYRJSJZ-UHFFFAOYSA-L,-1075.2673433952934
277,175.125,554,NUCLJNSWZCHRKL-UHFFFAOYSA-M,-642.2830428404933
278,133.084,467,NWZYYCVIOKVTII-SFOWXEAESA-M,-678.5913657547375
279,252.23,866,VGONTNSXDCQUGY-RRKCRQDMSA-N,-247.0863904029585
280,251.24599999999998,594,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,-29.782956963260403
281,862.57,578,MZFOKIKEPGUZEN-AGCMQPJKSA-I,-3533.1959267066823
282,877.65,711,VAAHKRMGOFIORX-IKTBLOROSA-J,-3356.2886841079107
283,875.63,677,NFOYYXQAVVYWKV-HDRQGHTBSA-J,-3317.857118335044
284,306.058,1173,YAHZABJORDUQGO-NQXXGFSBSA-J,
285,849.59,425,QHHKKMYHDBRONY-VKBDFPRVSA-J,-3378.4303838857995
286,365.168,493,KYOBSHFOBAOFBF-XVFCMESISA-K,-1887.920115033576
287,155.09,222,PXQPEWDEAKTCGB-UHFFFAOYSA-M,-583.9663929169244
288,164.157,1065,SHZGCJCMOBCMKK-JFNONXLTSA-N,-757.0377578894715
289,164.157,1578,QZNPNKJXABGCRC-FUTKDDECSA-N,-756.896737147798
290,60.033,701,KXDHJXZQYSOELW-UHFFFAOYSA-M,-377.35547542772906
291,139.004,130,FFQKYPRQEYGKAF-UHFFFAOYSA-L,-1229.0164914802633
292,103.098,489,SJZRECIVHVDYJC-UHFFFAOYSA-M,-482.4312870360318
293,101.08200000000001,163,UIUJIQZEACWQSV-UHFFFAOYSA-M,-465.1920738455312
294,342.29699999999997,817,VCWMRQDBPZKXKG-DXNLKLAMSA-N,-1656.6790895112756
295,504.43800000000005,590,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,-2241.957081879287
296,180.15599999999998,119,CDAISMWEOUEBRE-GPIVLXJGSA-N,-988.9823042772931
297,666.579,1356,UQZIYBXSHAGNOE-XNSRJBNMSA-N,-2913.128913079742
298,480.10900000000004,113,PGAVKCOVUIYSFO-XVFCMESISA-J,-3359.872112121739
299,301.188,74429,"FZLJPEPAYPUMMR-RTRLPJTCSA-N
",-1723.9963944228443
300,605.34,49,LFTYTUAZOPRMMI-CFRASDGPSA-L,-3115.7376832249556
301,,704,,
302,,4914,,
303,819.57,81,QAQREVBBADEHPA-IEXPHMLFSA-J,-3212.559866534663
304,862.57,131807,MZFOKIKEPGUZEN-FBMOWMAESA-I,-3524.5485665022566
305,504.135,402,HAEJPQIATWHALX-KQYNXXCUSA-J,-3067.7955280225165
306,425.164,472,JPXZQMKKFWMMGK-KQYNXXCUSA-K,-2203.0832848387304
307,175.21099999999998,67,ODKSFYDXXFIFQN-BYPYZUCNSA-O,-296.5891686465263
